palabra,sentimiento,word
abismal,tristeza,abysmal
abismo,miedo,abyss
abismo,negativo,abyss
abismo,tristeza,abyss
académico,positivo,academic
académico,confianza,academic
academia,positivo,academy
acelerar,anticipación,accelerate
aceptable,positivo,acceptable
aceptación,positivo,acceptance
accesible,positivo,accessible
accidente,miedo,accident
accidente,negativo,accident
accidente,tristeza,accident
accidente,sorpresa,accident
accidental,miedo,accidental
accidental,negativo,accidental
accidental,sorpresa,accidental
accidentalmente,sorpresa,accidentally
espaldarazo,anticipación,accolade
espaldarazo,alegría,accolade
espaldarazo,positivo,accolade
espaldarazo,sorpresa,accolade
espaldarazo,confianza,accolade
alojamiento,positivo,accommodation
acompañamiento,anticipación,accompaniment
acompañamiento,alegría,accompaniment
acompañamiento,positivo,accompaniment
acompañamiento,confianza,accompaniment
realizar,alegría,accomplish
realizar,positivo,accomplish
consumado,alegría,accomplished
consumado,positivo,accomplished
logro,positivo,accomplishment
pacto,positivo,accord
pacto,confianza,accord
cuenta,confianza,account
responsabilidad,positivo,accountability
responsabilidad,confianza,accountability
explicable,positivo,accountable
explicable,confianza,accountable
contador,confianza,accountant
cuentas,confianza,accounts
autorizado,positivo,accredited
autorizado,confianza,accredited
accueil,positivo,accueil
preciso,positivo,accurate
preciso,confianza,accurate
maldito,enfado,accursed
maldito,miedo,accursed
maldito,negativo,accursed
maldito,tristeza,accursed
acusación,enfado,accusation
acusación,asco,accusation
acusación,negativo,accusation
acusativo,negativo,accusative
acusado,enfado,accused
acusado,miedo,accused
acusado,negativo,accused
acusador,enfado,accuser
acusador,miedo,accuser
acusador,negativo,accuser
acusando,enfado,accusing
acusando,miedo,accusing
acusando,negativo,accusing
as,positivo,ace
dolor,negativo,ache
dolor,tristeza,ache
lograr,alegría,achieve
lograr,positivo,achieve
lograr,confianza,achieve
logro,anticipación,achievement
logro,alegría,achievement
logro,positivo,achievement
logro,confianza,achievement
dolor,negativo,aching
dolor,tristeza,aching
ácido,negativo,acid
reconocimiento,positivo,acknowledgment
adquirir,positivo,acquire
adquisidor,anticipación,acquiring
adquisidor,positivo,acquiring
acróbata,miedo,acrobat
acróbata,alegría,acrobat
acróbata,positivo,acrobat
acróbata,confianza,acrobat
acción,positivo,action
procesable,enfado,actionable
procesable,asco,actionable
procesable,negativo,actionable
real,positivo,actual
agudeza,positivo,acuity
perspicacia,positivo,acumen
adaptar,positivo,adapt
adaptable,positivo,adaptable
sumador,enfado,adder
sumador,asco,adder
sumador,miedo,adder
sumador,negativo,adder
sumador,tristeza,adder
adiccion,negativo,addiction
direcciones,anticipación,addresses
direcciones,positivo,addresses
adepto,positivo,adept
adecuación,positivo,adequacy
adherido,confianza,adhering
adiposo,negativo,adipose
juzgar,miedo,adjudicate
juzgar,negativo,adjudicate
adjunto,positivo,adjunct
administrativo,confianza,administrative
admirable,alegría,admirable
admirable,positivo,admirable
admirable,confianza,admirable
almirante,positivo,admiral
almirante,confianza,admiral
admiración,alegría,admiration
admiración,positivo,admiration
admiración,confianza,admiration
admirar,positivo,admire
admirar,confianza,admire
admirador,positivo,admirer
admisible,positivo,admissible
admisible,confianza,admissible
amonestación,miedo,admonition
amonestación,negativo,admonition
adorable,alegría,adorable
adorable,positivo,adorable
adoración,alegría,adoration
adoración,positivo,adoration
adoración,confianza,adoration
adorar,anticipación,adore
adorar,alegría,adore
adorar,positivo,adore
adorar,confianza,adore
a la deriva,anticipación,adrift
a la deriva,miedo,adrift
a la deriva,negativo,adrift
a la deriva,tristeza,adrift
espurio,negativo,adulterated
adulterio,asco,adultery
adulterio,negativo,adultery
adulterio,tristeza,adultery
avanzar,anticipación,advance
avanzar,miedo,advance
avanzar,alegría,advance
avanzar,positivo,advance
avanzar,sorpresa,advance
avanzado,positivo,advanced
adelanto,positivo,advancement
ventaja,positivo,advantage
ventajoso,positivo,advantageous
adviento,anticipación,advent
adviento,alegría,advent
adviento,positivo,advent
adviento,confianza,advent
aventuras,anticipación,adventure
aventuras,positivo,adventure
aventurero,positivo,adventurous
adversario,enfado,adversary
adversario,negativo,adversary
adverso,enfado,adverse
adverso,asco,adverse
adverso,miedo,adverse
adverso,negativo,adverse
adverso,tristeza,adverse
adversidad,enfado,adversity
adversidad,miedo,adversity
adversidad,negativo,adversity
adversidad,tristeza,adversity
Consejo,confianza,advice
aconsejable,positivo,advisable
aconsejable,confianza,advisable
asesorar,positivo,advise
asesorar,confianza,advise
aconsejado,confianza,advised
consejero,positivo,adviser
consejero,confianza,adviser
Abogacía,enfado,advocacy
Abogacía,anticipación,advocacy
Abogacía,alegría,advocacy
Abogacía,positivo,advocacy
Abogacía,confianza,advocacy
abogado,confianza,advocate
estético,positivo,aesthetic
estética,alegría,aesthetics
estética,positivo,aesthetics
afable,positivo,affable
afecto,alegría,affection
afecto,positivo,affection
afecto,confianza,affection
asociado,positivo,affiliated
afirmar,positivo,affirm
afirmar,confianza,affirm
afirmación,positivo,affirmation
afirmativo,positivo,affirmative
afirmativamente,positivo,affirmatively
afirmativamente,confianza,affirmatively
afligir,miedo,afflict
afligir,negativo,afflict
afligir,tristeza,afflict
afligido,negativo,afflicted
aflicción,asco,affliction
aflicción,miedo,affliction
aflicción,negativo,affliction
aflicción,tristeza,affliction
afluencia,alegría,affluence
afluencia,positivo,affluence
afluente,positivo,affluent
permitirse,positivo,afford
afrenta,enfado,affront
afrenta,asco,affront
afrenta,miedo,affront
afrenta,negativo,affront
afrenta,tristeza,affront
afrenta,sorpresa,affront
temeroso,miedo,afraid
temeroso,negativo,afraid
secuelas,enfado,aftermath
secuelas,asco,aftermath
secuelas,miedo,aftermath
secuelas,negativo,aftermath
secuelas,tristeza,aftermath
regusto,negativo,aftertaste
aga,miedo,aga
aga,positivo,aga
aga,confianza,aga
agravado,enfado,aggravated
agravado,negativo,aggravated
agravante,enfado,aggravating
agravante,negativo,aggravating
agravante,tristeza,aggravating
agravación,enfado,aggravation
agravación,asco,aggravation
agravación,negativo,aggravation
agresión,enfado,aggression
agresión,miedo,aggression
agresión,negativo,aggression
agresivo,enfado,aggressive
agresivo,miedo,aggressive
agresivo,negativo,aggressive
agresor,enfado,aggressor
agresor,miedo,aggressor
agresor,negativo,aggressor
espantado,asco,aghast
espantado,miedo,aghast
espantado,negativo,aghast
espantado,sorpresa,aghast
ágil,positivo,agile
agilidad,positivo,agility
agitado,enfado,agitated
agitado,negativo,agitated
agitación,enfado,agitation
agitación,negativo,agitation
agonizante,miedo,agonizing
agonizante,negativo,agonizing
agonía,enfado,agony
agonía,miedo,agony
agonía,negativo,agony
agonía,tristeza,agony
de acuerdo,positivo,agree
agradable,positivo,agreeable
agradable,confianza,agreeable
convenido,positivo,agreed
convenido,confianza,agreed
de acuerdo,positivo,agreeing
de acuerdo,confianza,agreeing
acuerdo,positivo,agreement
acuerdo,confianza,agreement
agricultura,positivo,agriculture
encallado,negativo,aground
adelante,positivo,ahead
ayuda,positivo,aid
ayudando,positivo,aiding
afligir,negativo,ail
afligir,tristeza,ail
enfermo,miedo,ailing
enfermo,negativo,ailing
enfermo,tristeza,ailing
sin objetivo,negativo,aimless
aeropuerto,anticipación,airport
aires,asco,airs
aires,negativo,airs
parecido,confianza,akin
alabastro,positivo,alabaster
alarma,miedo,alarm
alarma,negativo,alarm
alarma,sorpresa,alarm
alarmante,miedo,alarming
alarmante,negativo,alarming
alarmante,sorpresa,alarming
alba,confianza,alb
alcoholismo,enfado,alcoholism
alcoholismo,asco,alcoholism
alcoholismo,miedo,alcoholism
alcoholismo,negativo,alcoholism
alcoholismo,tristeza,alcoholism
vigilancia,anticipación,alertness
vigilancia,miedo,alertness
vigilancia,positivo,alertness
vigilancia,sorpresa,alertness
alertas,anticipación,alerts
alertas,miedo,alerts
alertas,sorpresa,alerts
extraterrestre,asco,alien
extraterrestre,miedo,alien
extraterrestre,negativo,alien
enajenar,enfado,alienate
enajenar,asco,alienate
enajenar,negativo,alienate
alienado,negativo,alienated
alienado,tristeza,alienated
alienación,enfado,alienation
alienación,asco,alienation
alienación,miedo,alienation
alienación,negativo,alienation
alienación,tristeza,alienation
alimentación,positivo,alimentation
pensión alimenticia,negativo,alimony
viva,anticipación,alive
viva,alegría,alive
viva,positivo,alive
viva,confianza,alive
aliviar,positivo,allay
alegación,enfado,allegation
alegación,negativo,allegation
alegar,negativo,allege
lealtad,positivo,allegiance
lealtad,confianza,allegiance
alegro,positivo,allegro
aliviar,positivo,alleviate
alivio,positivo,alleviation
Alianza,confianza,alliance
aliado,positivo,allied
aliado,confianza,allied
admisible,positivo,allowable
seducir,anticipación,allure
seducir,alegría,allure
seducir,positivo,allure
seducir,sorpresa,allure
seductor,positivo,alluring
aliado,positivo,ally
aliado,confianza,ally
todopoderoso,positivo,almighty
aloha,anticipación,aloha
aloha,alegría,aloha
aloha,positivo,aloha
a distancia,negativo,aloof
altercado,enfado,altercation
altercado,negativo,altercation
asombro,sorpresa,amaze
espantosamente,alegría,amazingly
espantosamente,positivo,amazingly
espantosamente,sorpresa,amazingly
embajador,positivo,ambassador
embajador,confianza,ambassador
ambiguo,negativo,ambiguous
ambición,anticipación,ambition
ambición,alegría,ambition
ambición,positivo,ambition
ambición,confianza,ambition
ambulancia,miedo,ambulance
ambulancia,confianza,ambulance
emboscada,enfado,ambush
emboscada,miedo,ambush
emboscada,negativo,ambush
emboscada,sorpresa,ambush
mejorar,positivo,ameliorate
Amén,alegría,amen
Amén,positivo,amen
Amén,confianza,amen
dócil,positivo,amenable
enmendar,positivo,amend
compensación,positivo,amends
amenidad,positivo,amenity
amable,positivo,amiable
amistoso,alegría,amicable
amistoso,positivo,amicable
amoníaco,asco,ammonia
amnesia,negativo,amnesia
amnistía,alegría,amnesty
amnistía,positivo,amnesty
amortización,confianza,amortization
aventura amorosa,anticipación,amour
aventura amorosa,alegría,amour
aventura amorosa,positivo,amour
aventura amorosa,confianza,amour
anfetaminas,asco,amphetamines
anfetaminas,negativo,amphetamines
entretener,alegría,amuse
entretener,positivo,amuse
divertido,alegría,amused
divertido,positivo,amused
diversión,alegría,amusement
diversión,positivo,amusement
divertido,alegría,amusing
divertido,positivo,amusing
anaconda,asco,anaconda
anaconda,miedo,anaconda
anaconda,negativo,anaconda
anal,negativo,anal
analista,anticipación,analyst
analista,positivo,analyst
analista,confianza,analyst
anarquismo,enfado,anarchism
anarquismo,miedo,anarchism
anarquismo,negativo,anarchism
anarquista,enfado,anarchist
anarquista,miedo,anarchist
anarquista,negativo,anarchist
anarquía,enfado,anarchy
anarquía,miedo,anarchy
anarquía,negativo,anarchy
anatema,enfado,anathema
anatema,asco,anathema
anatema,miedo,anathema
anatema,negativo,anathema
anatema,tristeza,anathema
ancestral,confianza,ancestral
ancla,positivo,anchor
anclaje,positivo,anchorage
anclaje,tristeza,anchorage
antiguo,negativo,ancient
ángel,anticipación,angel
ángel,alegría,angel
ángel,positivo,angel
ángel,sorpresa,angel
ángel,confianza,angel
angelical,alegría,angelic
angelical,positivo,angelic
angelical,confianza,angelic
enfado,enfado,anger
enfado,negativo,anger
angina,miedo,angina
angina,negativo,angina
pesca con caña,anticipación,angling
pesca con caña,negativo,angling
enojado,enfado,angry
enojado,asco,angry
enojado,negativo,angry
angustia,enfado,anguish
angustia,miedo,anguish
angustia,negativo,anguish
angustia,tristeza,anguish
animar,positivo,animate
animado,alegría,animated
animado,positivo,animated
animosidad,enfado,animosity
animosidad,asco,animosity
animosidad,miedo,animosity
animosidad,negativo,animosity
animosidad,tristeza,animosity
ánimo,enfado,animus
ánimo,negativo,animus
aniquilar,enfado,annihilate
aniquilar,miedo,annihilate
aniquilar,negativo,annihilate
aniquilado,enfado,annihilated
aniquilado,miedo,annihilated
aniquilado,negativo,annihilated
aniquilado,tristeza,annihilated
aniquilación,enfado,annihilation
aniquilación,miedo,annihilation
aniquilación,negativo,annihilation
aniquilación,tristeza,annihilation
anuncio,anticipación,announcement
molestar,enfado,annoy
molestar,asco,annoy
molestar,negativo,annoy
molestia,enfado,annoyance
molestia,asco,annoyance
molestia,negativo,annoyance
molesto,enfado,annoying
molesto,negativo,annoying
anular,negativo,annul
anulación,negativo,annulment
anulación,tristeza,annulment
anomalía,miedo,anomaly
anomalía,negativo,anomaly
anomalía,sorpresa,anomaly
anónimo,negativo,anonymous
responsable,confianza,answerable
antagonismo,enfado,antagonism
antagonismo,negativo,antagonism
antagonista,enfado,antagonist
antagonista,negativo,antagonist
antagonista,enfado,antagonistic
antagonista,asco,antagonistic
antagonista,negativo,antagonistic
ántrax,asco,anthrax
ántrax,miedo,anthrax
ántrax,negativo,anthrax
ántrax,tristeza,anthrax
antibióticos,positivo,antibiotics
antecristo,enfado,antichrist
antecristo,asco,antichrist
antecristo,miedo,antichrist
antecristo,negativo,antichrist
anticipación,anticipación,anticipation
anticipado,anticipación,anticipatory
antídoto,anticipación,antidote
antídoto,positivo,antidote
antídoto,confianza,antidote
antimicótico,positivo,antifungal
antimicótico,confianza,antifungal
antipatía,enfado,antipathy
antipatía,asco,antipathy
antipatía,negativo,antipathy
anticuado,negativo,antiquated
antiguo,positivo,antique
antiséptico,positivo,antiseptic
antiséptico,confianza,antiseptic
antisocial,enfado,antisocial
antisocial,asco,antisocial
antisocial,miedo,antisocial
antisocial,negativo,antisocial
antisocial,tristeza,antisocial
antítesis,enfado,antithesis
antítesis,negativo,antithesis
ansiedad,enfado,anxiety
ansiedad,anticipación,anxiety
ansiedad,miedo,anxiety
ansiedad,negativo,anxiety
ansiedad,tristeza,anxiety
ansioso,anticipación,anxious
ansioso,miedo,anxious
ansioso,negativo,anxious
apache,miedo,apache
apache,negativo,apache
apático,negativo,apathetic
apático,tristeza,apathetic
apatía,negativo,apathy
apatía,tristeza,apathy
áfido,asco,aphid
áfido,negativo,aphid
aplomo,positivo,aplomb
apologético,positivo,apologetic
apologético,confianza,apologetic
pedir disculpas,positivo,apologize
pedir disculpas,tristeza,apologize
pedir disculpas,confianza,apologize
disculpa,positivo,apology
apóstol,positivo,apostle
apóstol,confianza,apostle
apostólico,confianza,apostolic
pésimo,asco,appalling
pésimo,miedo,appalling
pésimo,negativo,appalling
aparición,miedo,apparition
aparición,sorpresa,apparition
apelación,anticipación,appeal
apendicitis,miedo,appendicitis
apendicitis,negativo,appendicitis
apendicitis,tristeza,appendicitis
aplausos,alegría,applause
aplausos,positivo,applause
aplausos,sorpresa,applause
aplausos,confianza,applause
solicitante,anticipación,applicant
apreciación,alegría,appreciation
apreciación,positivo,appreciation
apreciación,confianza,appreciation
aprehender,miedo,apprehend
detención,miedo,apprehension
detención,negativo,apprehension
aprensivo,anticipación,apprehensive
aprensivo,miedo,apprehensive
aprensivo,negativo,apprehensive
aprendiz,confianza,apprentice
que se acerca,anticipación,approaching
aprobación,positivo,approbation
aprobación,confianza,approbation
apropiación,negativo,appropriation
aprobación,positivo,approval
aprobar,alegría,approve
aprobar,positivo,approve
aprobar,confianza,approve
aprobatorio,positivo,approving
apto,positivo,apt
aptitud,positivo,aptitude
árbitro,confianza,arbiter
arbitraje,anticipación,arbitration
árbitro,confianza,arbitrator
arqueología,anticipación,archaeology
arqueología,positivo,archaeology
arcaico,negativo,archaic
arquitectura,confianza,architecture
ardiente,anticipación,ardent
ardiente,alegría,ardent
ardiente,positivo,ardent
ardor,positivo,ardor
arduo,negativo,arduous
discutir,enfado,argue
discutir,negativo,argue
argumento,enfado,argument
argumento,negativo,argument
argumentación,enfado,argumentation
discutidor,negativo,argumentative
argumentos,enfado,arguments
árido,negativo,arid
árido,tristeza,arid
aristocracia,positivo,aristocracy
aristocrático,positivo,aristocratic
armamento,enfado,armament
armamento,miedo,armament
armamento,miedo,armaments
armamento,negativo,armaments
armado,enfado,armed
armado,miedo,armed
armado,negativo,armed
armado,positivo,armed
armadura,miedo,armor
armadura,positivo,armor
armadura,confianza,armor
blindado,miedo,armored
arsenal,confianza,armory
aroma,positivo,aroma
despertar,anticipación,arouse
despertar,positivo,arouse
acusación,enfado,arraignment
acusación,miedo,arraignment
acusación,negativo,arraignment
acusación,tristeza,arraignment
formación,positivo,array
atrasos,negativo,arrears
arrestar,negativo,arrest
llegada,anticipación,arrival
llegar,anticipación,arrive
arrogancia,negativo,arrogance
arrogante,enfado,arrogant
arrogante,asco,arrogant
arrogante,negativo,arrogant
arsénico,asco,arsenic
arsénico,miedo,arsenic
arsénico,negativo,arsenic
arsénico,tristeza,arsenic
incendio provocado,enfado,arson
incendio provocado,miedo,arson
incendio provocado,negativo,arson
Art º,anticipación,art
Art º,alegría,art
Art º,positivo,art
Art º,tristeza,art
Art º,sorpresa,art
articular,positivo,articulate
articulación,positivo,articulation
artillería,miedo,artillery
artillería,negativo,artillery
artesano,positivo,artisan
artista,positivo,artiste
artístico,positivo,artistic
ascendencia,positivo,ascendancy
ascenso,positivo,ascent
ceniza,negativo,ash
avergonzado,asco,ashamed
avergonzado,negativo,ashamed
avergonzado,tristeza,ashamed
despojos mortales,negativo,ashes
despojos mortales,tristeza,ashes
áspid,miedo,asp
aspiración,anticipación,aspiration
aspiración,alegría,aspiration
aspiración,positivo,aspiration
aspiración,sorpresa,aspiration
aspiración,confianza,aspiration
aspirar,anticipación,aspire
aspirar,alegría,aspire
aspirar,positivo,aspire
ambicioso,anticipación,aspiring
ambicioso,alegría,aspiring
ambicioso,positivo,aspiring
ambicioso,confianza,aspiring
culo,negativo,ass
asaltar,enfado,assail
asaltar,miedo,assail
asaltar,negativo,assail
asaltar,sorpresa,assail
agresor,enfado,assailant
agresor,miedo,assailant
agresor,negativo,assailant
agresor,tristeza,assailant
asesino,enfado,assassin
asesino,miedo,assassin
asesino,negativo,assassin
asesino,tristeza,assassin
asesinar,enfado,assassinate
asesinar,miedo,assassinate
asesinar,negativo,assassinate
asesinato,enfado,assassination
asesinato,miedo,assassination
asesinato,negativo,assassination
asesinato,tristeza,assassination
asalto,enfado,assault
asalto,miedo,assault
asalto,negativo,assault
montaje,positivo,assembly
montaje,confianza,assembly
asentir,positivo,assent
afirmando,positivo,asserting
afirmando,confianza,asserting
evaluación,sorpresa,assessment
evaluación,confianza,assessment
asesor,confianza,assessor
bienes,positivo,assets
Estúpido,enfado,asshole
Estúpido,asco,asshole
Estúpido,negativo,asshole
cesionario,confianza,assignee
ayudar,positivo,assist
ayudar,confianza,assist
asistencia,positivo,assistance
asociar,positivo,associate
asociar,confianza,associate
asociación,confianza,association
calmar,positivo,assuage
garantía,positivo,assurance
garantía,confianza,assurance
asegurar,confianza,assure
seguro,positivo,assured
seguro,confianza,assured
ciertamente,confianza,assuredly
asombrosamente,positivo,astonishingly
asombrosamente,sorpresa,astonishingly
asombro,alegría,astonishment
asombro,positivo,astonishment
asombro,sorpresa,astonishment
por mal camino,miedo,astray
por mal camino,negativo,astray
astringente,negativo,astringent
astrólogo,anticipación,astrologer
astrólogo,positivo,astrologer
astronauta,positivo,astronaut
astrónomo,anticipación,astronomer
astrónomo,positivo,astronomer
astuto,positivo,astute
asilo,miedo,asylum
asilo,negativo,asylum
asimetría,asco,asymmetry
ateísmo,negativo,atheism
aterosclerosis,miedo,atherosclerosis
aterosclerosis,negativo,atherosclerosis
aterosclerosis,tristeza,atherosclerosis
atleta,positivo,athlete
atlético,positivo,athletic
átomo,positivo,atom
expiar,anticipación,atone
expiar,alegría,atone
expiar,positivo,atone
expiar,confianza,atone
expiación,positivo,atonement
atroz,enfado,atrocious
atroz,asco,atrocious
atroz,negativo,atrocious
atrocidad,enfado,atrocity
atrocidad,asco,atrocity
atrocidad,miedo,atrocity
atrocidad,negativo,atrocity
atrocidad,tristeza,atrocity
atrofia,asco,atrophy
atrofia,miedo,atrophy
atrofia,negativo,atrophy
atrofia,tristeza,atrophy
adjunto archivo,positivo,attachment
ataque,enfado,attack
ataque,miedo,attack
ataque,negativo,attack
agresor,enfado,attacking
agresor,asco,attacking
agresor,miedo,attacking
agresor,negativo,attacking
agresor,tristeza,attacking
agresor,sorpresa,attacking
alcanzable,anticipación,attainable
alcanzable,positivo,attainable
logro,positivo,attainment
intento,anticipación,attempt
asistencia,anticipación,attendance
asistente,positivo,attendant
asistente,confianza,attendant
atención,positivo,attention
atento,positivo,attentive
atento,confianza,attentive
atenuado,negativo,attenuated
atenuación,negativo,attenuation
atenuación,tristeza,attenuation
dar fe,positivo,attest
dar fe,confianza,attest
atestación,confianza,attestation
abogado,enfado,attorney
abogado,miedo,attorney
abogado,positivo,attorney
abogado,confianza,attorney
atracción,positivo,attraction
atractivo,positivo,attractiveness
subasta,anticipación,auction
audacia,negativo,audacity
audiencia,anticipación,audience
auditor,miedo,auditor
auditor,confianza,auditor
aumentar,positivo,augment
agosto,positivo,august
tía,positivo,aunt
tía,confianza,aunt
aura,positivo,aura
propicio,anticipación,auspicious
propicio,alegría,auspicious
propicio,positivo,auspicious
austero,miedo,austere
austero,negativo,austere
austero,tristeza,austere
austeridad,negativo,austerity
auténtico,alegría,authentic
auténtico,positivo,authentic
auténtico,confianza,authentic
autenticar,confianza,authenticate
autenticación,confianza,authentication
autenticidad,positivo,authenticity
autenticidad,confianza,authenticity
autor,positivo,author
autor,confianza,author
autoritario,positivo,authoritative
autoritario,confianza,authoritative
autoridad,positivo,authority
autoridad,confianza,authority
autorización,positivo,authorization
autorización,confianza,authorization
autorizar,confianza,authorize
autorizado,positivo,authorized
autocrático,negativo,autocratic
automático,confianza,automatic
autopsia,asco,autopsy
autopsia,miedo,autopsy
autopsia,negativo,autopsy
autopsia,tristeza,autopsy
avalancha,miedo,avalanche
avalancha,negativo,avalanche
avalancha,tristeza,avalanche
avalancha,sorpresa,avalanche
avaricia,enfado,avarice
avaricia,asco,avarice
avaricia,negativo,avarice
avatar,positivo,avatar
vengador,enfado,avenger
vengador,negativo,avenger
contrario,enfado,averse
contrario,asco,averse
contrario,miedo,averse
contrario,negativo,averse
aversión,enfado,aversion
aversión,asco,aversion
aversión,miedo,aversion
aversión,negativo,aversion
evitar,miedo,avoid
evitar,negativo,avoid
evitación,miedo,avoidance
evitación,negativo,avoidance
evitando,miedo,avoiding
esperar,anticipación,await
premio,anticipación,award
premio,alegría,award
premio,positivo,award
premio,sorpresa,award
premio,confianza,award
horrible,enfado,awful
horrible,asco,awful
horrible,miedo,awful
horrible,negativo,awful
horrible,tristeza,awful
torpeza,asco,awkwardness
torpeza,negativo,awkwardness
torcido,negativo,awry
axioma,confianza,axiom
axiomático,confianza,axiomatic
sí,positivo,ay
sí,positivo,aye
balbucear,negativo,babble
balbuceo,negativo,babbling
babuino,asco,baboon
babuino,negativo,baboon
bebé,alegría,baby
bebé,positivo,baby
niñera,confianza,babysitter
bachillerato,positivo,baccalaureate
columna vertebral,enfado,backbone
columna vertebral,positivo,backbone
columna vertebral,confianza,backbone
partidario,confianza,backer
hacia atrás,negativo,backward
hacia atrás,asco,backwards
hacia atrás,negativo,backwards
remanso,negativo,backwater
remanso,tristeza,backwater
bacterias,asco,bacteria
bacterias,miedo,bacteria
bacterias,negativo,bacteria
bacterias,tristeza,bacteria
bacteria,asco,bacterium
bacteria,miedo,bacterium
bacteria,negativo,bacterium
malo,enfado,bad
malo,asco,bad
malo,miedo,bad
malo,negativo,bad
malo,tristeza,bad
placa,confianza,badge
tejón,enfado,badger
tejón,negativo,badger
mal,negativo,badly
mal,tristeza,badly
maldad,enfado,badness
maldad,asco,badness
maldad,miedo,badness
maldad,negativo,badness
alguacil,miedo,bailiff
alguacil,negativo,bailiff
alguacil,confianza,bailiff
cebo,miedo,bait
cebo,negativo,bait
cebo,confianza,bait
equilibrar,positivo,balance
equilibrado,positivo,balanced
bala,miedo,bale
bala,negativo,bale
obstáculo,negativo,balk
balada,positivo,ballad
ballet,positivo,ballet
votación,anticipación,ballot
votación,positivo,ballot
votación,confianza,ballot
bálsamo,anticipación,balm
bálsamo,alegría,balm
bálsamo,negativo,balm
bálsamo,positivo,balm
bálsamo,positivo,balsam
prohibición,negativo,ban
bandido,negativo,bandit
perdición,enfado,bane
perdición,asco,bane
perdición,miedo,bane
perdición,negativo,bane
explosión,enfado,bang
explosión,asco,bang
explosión,miedo,bang
explosión,negativo,bang
explosión,tristeza,bang
explosión,sorpresa,bang
petardo,enfado,banger
petardo,anticipación,banger
petardo,miedo,banger
petardo,negativo,banger
petardo,sorpresa,banger
desterrar,enfado,banish
desterrar,asco,banish
desterrar,miedo,banish
desterrar,negativo,banish
desterrar,tristeza,banish
alejado,enfado,banished
alejado,miedo,banished
alejado,negativo,banished
alejado,tristeza,banished
destierro,enfado,banishment
destierro,asco,banishment
destierro,negativo,banishment
destierro,tristeza,banishment
banco,confianza,bank
banquero,confianza,banker
arruinado,miedo,bankrupt
arruinado,negativo,bankrupt
arruinado,tristeza,bankrupt
bancarrota,enfado,bankruptcy
bancarrota,asco,bankruptcy
bancarrota,miedo,bankruptcy
bancarrota,negativo,bankruptcy
bancarrota,tristeza,bankruptcy
banquete,anticipación,banquet
banquete,alegría,banquet
banquete,positivo,banquet
banshee,enfado,banshee
banshee,asco,banshee
banshee,miedo,banshee
banshee,negativo,banshee
banshee,tristeza,banshee
bautismo,positivo,baptism
bautismal,alegría,baptismal
bautismal,positivo,baptismal
lengüeta,enfado,barb
lengüeta,negativo,barb
bárbaro,miedo,barbarian
bárbaro,negativo,barbarian
bárbaro,enfado,barbaric
bárbaro,asco,barbaric
bárbaro,miedo,barbaric
bárbaro,negativo,barbaric
barbarie,negativo,barbarism
bardo,positivo,bard
vomitar,asco,barf
negociar,positivo,bargain
negociar,confianza,bargain
ladrar,enfado,bark
ladrar,negativo,bark
